States,District,Districts,Year,Annual Rainfall
Andhra Pradesh,Adilabad,Adilabad,2012,1048.8
Andhra Pradesh,Anantapur,Anantapur,2012,536
Andhra Pradesh,Chittoor,Chittoor,2012,1002.5
Andhra Pradesh,Cuddapah,Cuddapah,2012,558.2
Andhra Pradesh,East Godavari,East Godavari,2012,1445.3
Andhra Pradesh,Guntur,Guntur,2012,1012.7
Andhra Pradesh,Hyderabad,Hyderabad,2012,778.8
Andhra Pradesh,Karimnagar,Karimnagar,2012,1046.5
Andhra Pradesh,Khammam,Khammam,2012,1521.1
Andhra Pradesh,Krishna,Krishna,2012,1509.6
Andhra Pradesh,Kurnool,Kurnool,2012,609.3
Andhra Pradesh,Mahbubnagar,Mahbubnagar,2012,632.7
Andhra Pradesh,Medak,Medak,2012,843
Andhra Pradesh,Nalgonda,Nalgonda,2012,673.9
Andhra Pradesh,Nellore,Nellore,2012,911
Andhra Pradesh,Nizamabad,Nizamabad,2012,845.4
Andhra Pradesh,Prakasam,Prakasam,2012,886.4
Andhra Pradesh,Rangareddy,Rangareddy,2012,788.9
Andhra Pradesh,Srikakulam,Srikakulam,2012,1289.2
Andhra Pradesh,Visakhapatnam,Visakhapatnam,2012,1217.9
Andhra Pradesh,Vizianagaram,Vizianagaram,2012,1296.9
Andhra Pradesh,Warangal,Warangal,2012,1231.9
Andhra Pradesh,West Godavari,West Godavari,2012,1611.9
Andhra Pradesh,Adilabad,Adilabad,2013,1607.7
Andhra Pradesh,Anantapur,Anantapur,2013,501.7
Andhra Pradesh,Chittoor,Chittoor,2013,856
Andhra Pradesh,Cuddapah,Cuddapah,2013,689.2
Andhra Pradesh,East Godavari,East Godavari,2013,1120.2
Andhra Pradesh,Guntur,Guntur,2013,1161.5
Andhra Pradesh,Hyderabad,Hyderabad,2013,1088.9
Andhra Pradesh,Karimnagar,Karimnagar,2013,1427.7
Andhra Pradesh,Khammam,Khammam,2013,1503.2
Andhra Pradesh,Krishna,Krishna,2013,1317.3
Andhra Pradesh,Kurnool,Kurnool,2013,703.4
Andhra Pradesh,Mahbubnagar,Mahbubnagar,2013,910.8
Andhra Pradesh,Medak,Medak,2013,1068.1
Andhra Pradesh,Nalgonda,Nalgonda,2013,1146.3
Andhra Pradesh,Nellore,Nellore,2013,871.8
Andhra Pradesh,Nizamabad,Nizamabad,2013,1341
Andhra Pradesh,Prakasam,Prakasam,2013,986.2
Andhra Pradesh,Rangareddy,Rangareddy,2013,971.8
Andhra Pradesh,Srikakulam,Srikakulam,2013,1421.9
Andhra Pradesh,Visakhapatanam,Visakhapatanam,2013,1082.5
Andhra Pradesh,Vizianagaram,Vizianagaram,2013,1028.3
Andhra Pradesh,Warangal,Warangal,2013,1366.5
Andhra Pradesh,West Godavari,West Godavari,2013,1006.1
Andhra Pradesh,Anantapur,Anantapur,2014,437.8
Andhra Pradesh,Chittoor,Chittoor,2014,600.4
Andhra Pradesh,Cuddapah,Cuddapah,2014,432.6
Andhra Pradesh,East Godavari,East Godavari,2014,635.7
Andhra Pradesh,Guntur,Guntur,2014,681.4
Andhra Pradesh,Krishna,Krishna,2014,622.9
Andhra Pradesh,Kurnool,Kurnool,2014,628.9
Andhra Pradesh,Nellore,Nellore,2014,705.3
Andhra Pradesh,Prakasam,Prakasam,2014,497.1
Andhra Pradesh,Srikakulam,Srikakulam,2014,1274.3
Andhra Pradesh,Vishakhapatanam,Vishakhapatanam,2014,1092.6
Andhra Pradesh,Vizianagaram,Vizianagaram,2014,1204.4
Andhra Pradesh,West Godavari,West Godavari,2014,861.1
Andhra Pradesh,ANANTAPUR ,Anantapur,2015,709
Andhra Pradesh,CHITTOOR ,Chittoor,2015,1419
Andhra Pradesh,CUDDAPAH ,Cuddapah,2015,1012.8
Andhra Pradesh,EAST GODAVARI ,East Godavari,2015,1099
Andhra Pradesh,GUNTUR ,Guntur,2015,713.6
Andhra Pradesh,KRISHNA ,Krishna,2015,944.8
Andhra Pradesh,KURNOOL ,Kurnool,2015,470.4
Andhra Pradesh,NELLORE ,Nellore,2015,1385.3
Andhra Pradesh,PRAKASAM ,Prakasam,2015,634
Andhra Pradesh,SRIKAKULAM ,Srikakulam,2015,952.4
Andhra Pradesh,Vishakhapatanam,Vishakhapatanam,2015,1210.3
Andhra Pradesh,VIZIANAGARAM,Vizianagaram,2015,1072.3
Andhra Pradesh,WEST GODAVARI,West Godavari,2015,1054
Andhra Pradesh,ANANTAPUR,Anantapur,2016,394.2
Andhra Pradesh,CHITTOOR,Chittoor,2016,663.9
Andhra Pradesh,CUDDAPAH,Cuddapah,2016,590.8
Andhra Pradesh,EAST GODAVARI,East Godavari,2016,1091.4
Andhra Pradesh,GUNTUR,Guntur,2016,965.3
Andhra Pradesh,KRISHNA,Krishna,2016,1016.9
Andhra Pradesh,KURNOOL,Kurnool,2016,606.2
Andhra Pradesh,NELLORE,Nellore,2016,593.9
Andhra Pradesh,PRAKASAM,Prakasam,2016,549.4
Andhra Pradesh,SRIKAKULAM,Srikakulam,2016,1099.7
Andhra Pradesh,Vishakhapatanam,Vishakhapatanam,2016,1119.2
Andhra Pradesh,VIZIANAGARAM,Vizianagaram,2016,1151.2
Andhra Pradesh,WEST GODAVARI,West Godavari,2016,1148.7
Andhra Pradesh,ANANTAPUR,Anantapur,2017,661.2
Andhra Pradesh,CHITTOOR,Chittoor,2017,1139
Andhra Pradesh,CUDDAPAH,Cuddapah,2017,854.2
Andhra Pradesh,EAST GODAVARI,East Godavari,2017,962.8
Andhra Pradesh,GUNTUR,Guntur,2017,791.6
Andhra Pradesh,KRISHNA,Krishna,2017,867.7
Andhra Pradesh,KURNOOL,Kurnool,2017,743.8
Andhra Pradesh,NELLORE,Nellore,2017,976.1
Andhra Pradesh,PRAKASAM,Prakasam,2017,615.1
Andhra Pradesh,SRIKAKULAM,Srikakulam,2017,1250.5
Andhra Pradesh,Vishakhapatanam,Vishakhapatanam,2017,941.1
Andhra Pradesh,VIZIANAGARAM,Vizianagaram,2017,1080.7
Andhra Pradesh,WEST GODAVARI,West Godavari,2017,965
Andhra Pradesh,ANANTAPUR,Anantapur,2018,390.8
Andhra Pradesh,CHITTOOR,Chittoor,2018,595.6
Andhra Pradesh,CUDDAPAH,Cuddapah,2018,376.7
Andhra Pradesh,EAST GODAVARI,East Godavari,2018,1136.5
Andhra Pradesh,GUNTUR,Guntur,2018,659.7
Andhra Pradesh,KRISHNA,Krishna,2018,950.9
Andhra Pradesh,KURNOOL,Kurnool,2018,375.3
Andhra Pradesh,NELLORE,Nellore,2018,527.8
Andhra Pradesh,PRAKASAM,Prakasam,2018,441.7
Andhra Pradesh,SRIKAKULAM,Srikakulam,2018,1310.8
Andhra Pradesh,Vishakhapatanam,Vishakhapatanam,2018,1026
Andhra Pradesh,VIZIANAGARAM,Vizianagaram,2018,1048.8
Andhra Pradesh,WEST GODAVARI,West Godavari,2018,1121.4
Andhra Pradesh,ANANTAPUR,Anantapur,2019,661.8
Andhra Pradesh,CHITTOOR,Chittoor,2019,939.3
Andhra Pradesh,CUDDAPAH,Cuddapah,2019,677.9
Andhra Pradesh,EAST GODAVARI,East Godavari,2019,1192.9
Andhra Pradesh,GUNTUR,Guntur,2019,939
Andhra Pradesh,KRISHNA,Krishna,2019,997.2
Andhra Pradesh,KURNOOL,Kurnool,2019,724.1
Andhra Pradesh,NELLORE,Nellore,2019,1003.3
Andhra Pradesh,PRAKASAM,Prakasam,2019,726
Andhra Pradesh,SRIKAKULAM,Srikakulam,2019,1336.4
Andhra Pradesh,Vishakhapatanam,Vishakhapatanam,2019,1085.9
Andhra Pradesh,VIZIANAGARAM,Vizianagaram,2019,1236.3
Andhra Pradesh,WEST GODAVARI,West Godavari,2019,1003.2
Andhra Pradesh,East Godavari,East Godavari,2020,1464.7
Andhra Pradesh,Guntur,Guntur,2020,1211.7
Andhra Pradesh,Krishna,Krishna,2020,1360.1
Andhra Pradesh,Nellore,Nellore,2020,1479.9
Andhra Pradesh,Prakasam,Prakasam,2020,960.7
Andhra Pradesh,Srikakulam,Srikakulam,2020,1054.1
Andhra Pradesh,Visakhapatnam,Visakhapatnam,2020,1174.5
Andhra Pradesh,Vizianagaram,Vizianagaram,2020,1191.6
Andhra Pradesh,West Godavari,West Godavari,2020,1552.2
Andhra Pradesh,Yanam,Yanam,2020,1937.4
Andhra Pradesh,Anantapur,Anantapur,2020,880.3
Andhra Pradesh,Chittoor,Chittoor,2020,1420.1
Andhra Pradesh,Cuddapah,Cuddapah,2020,1378.5
Andhra Pradesh,Kurnool,Kurnool,2020,1084
Andhra Pradesh,EAST GODAVARI,East Godavari,2021,1243.5
Andhra Pradesh,GUNTUR,Guntur,2021,1034.3
Andhra Pradesh,KRISHNA,Krishna,2021,1176.8
Andhra Pradesh,PRAKASAM,Prakasam,2021,832.4
Andhra Pradesh,SPSR NELLORE,Spsr Nellore,2021,1422.2
Andhra Pradesh,SRIKAKULAM,Srikakulam,2021,1374.2
Andhra Pradesh,Vishakhapatanam,Vishakhapatanam,2021,1263.6
Andhra Pradesh,VIZIANAGARAM,Vizianagaram,2021,1371.1
Andhra Pradesh,WEST GODAVARI,West Godavari,2021,1258
Andhra Pradesh,YANAM,Yanam,2021,1404.6
Andhra Pradesh,ANANTAPUR,Anantapur,2021,966.6
Andhra Pradesh,CHITTOOR,Chittoor,2021,1471.9
Andhra Pradesh,KURNOOL,Kurnool,2021,751
Andhra Pradesh,YSR DISTRICT,Ysr District,2021,1328.9
Andhra Pradesh,East Godavari,East Godavari,2022,1328.5
Andhra Pradesh,Guntur,Guntur,2022,983.6
Andhra Pradesh,Krishna,Krishna,2022,992.9
Andhra Pradesh,Prakasam,Prakasam,2022,877.9
Andhra Pradesh,SPSR Nellore,Spsr Nellore,2022,1163.6
Andhra Pradesh,Srikakulam,Srikakulam,2022,1185.3
Andhra Pradesh,Visakhapatnam,Visakhapatnam,2022,1180.9
Andhra Pradesh,Vizianagaram,Vizianagaram,2022,1336.7
Andhra Pradesh,West Godavari,West Godavari,2022,1425.2
Andhra Pradesh,Yanam,Yanam,2022,1559.4
Andhra Pradesh,Anantapuramu,Anantapuramu,2022,923.8
Andhra Pradesh,Chittoor,Chittoor,2022,1115.3
Andhra Pradesh,Kurnool,Kurnool,2022,759.1
Andhra Pradesh,YSR District,Ysr District,2022,871.7
Andhra Pradesh,Anakapalli,Anakapalli,2023,1203.4
Andhra Pradesh,Bapatla,Bapatla,2023,1160.7
Andhra Pradesh,Dr B R Ambedkar Konaseema,Dr B R Ambedkar Konaseema,2023,1481.6
Andhra Pradesh,Eluru,Eluru,2023,1123.9
Andhra Pradesh,Guntur,Guntur,2023,982.3
Andhra Pradesh,Kakinada,Kakinada,2023,1043.1
Andhra Pradesh,Krishna,Krishna,2023,1508.4
Andhra Pradesh,NTR District,Ntr District,2023,913.9
Andhra Pradesh,Palnadu,Palnadu,2023,858.4
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram Manyam,2023,1315
Andhra Pradesh,Prakasam,Prakasam,2023,638.5
Andhra Pradesh,SPSR Nellore,Spsr Nellore,2023,909
Andhra Pradesh,Sri Alluri Sitharama Raju,Sri Alluri Sitharama Raju,2023,1364.5
Andhra Pradesh,Srikakulam,Srikakulam,2023,931.5
Andhra Pradesh,Visakhapatnam,Visakhapatnam,2023,971.7
Andhra Pradesh,Vizianagaram,Vizianagaram,2023,1094.2
Andhra Pradesh,West Godavari,West Godavari,2023,1110.4
Andhra Pradesh,Yanam,Yanam,2023,1046.4
Andhra Pradesh,Anantapuramu,Anantapuramu,2023,385.8
Andhra Pradesh,Annamayya,Annamayya,2023,626.3
Andhra Pradesh,Chittoor,Chittoor,2023,999.9
Andhra Pradesh,Kurnool,Kurnool,2023,490.4
Andhra Pradesh,Nandyal,Nandyal,2023,604.3
Andhra Pradesh,Sri Sathyasai,Sri Sathyasai,2023,498.1
Andhra Pradesh,Tirupati,Tirupati,2023,1265.9
Andhra Pradesh,YSR District,Ysr District,2023,619.3
Karnataka,Bagalkot,Bagalkot,2012,390.2
Karnataka,Bangalore Rural,Bangalore Rural,2012,650.5
Karnataka,Bengaluru Urban,Bengaluru Urban,2012,552.4
Karnataka,Belgaum,Belgaum,2012,561
Karnataka,Bellary,Bellary,2012,544.7
Karnataka,Bidar,Bidar,2012,762.5
Karnataka,Bijapur,Bijapur,2012,427.9
Karnataka,Chamarajanagar,Chamarajanagar,2012,529.5
Karnataka,Chikballapur,Chikballapur,2012,628.1
Karnataka,Chikmagalur,Chikmagalur,2012,1609.2
Karnataka,Chitradurga,Chitradurga,2012,575.6
Karnataka,Dakshin Kannad,Dakshin Kannad,2012,3374.8
Karnataka,Davangere,Davangere,2012,588.8
Karnataka,Dharwad,Dharwad,2012,474.1
Karnataka,Gadag,Gadag,2012,491.3
Karnataka,Gulbarga,Gulbarga,2012,667.7
Karnataka,Hassan,Hassan,2012,658.4
Karnataka,Haveri,Haveri,2012,617.5
Karnataka,Kodagu,Kodagu,2012,1807.7
Karnataka,Kolar,Kolar,2012,717.8
Karnataka,Koppal,Koppal,2012,454.1
Karnataka,Mandya,Mandya,2012,514
Karnataka,Mysore,Mysore,2012,526.5
Karnataka,Raichur,Raichur,2012,411.9
Karnataka,Ramanagara,Ramanagara,2012,540.1
Karnataka,Shimoga,Shimoga,2012,1913
Karnataka,Tumkur,Tumkur,2012,559.9
Karnataka,Udupi,Udupi,2012,4452.4
Karnataka,Uttar Kannad,Uttar Kannad,2012,3034.9
Karnataka,Yadgir,Yadgir,2012,535
Karnataka,Bagalkot,Bagalkot,2013,514.6
Karnataka,Bangalore Rural,Bangalore Rural,2013,872.8
Karnataka,Bengaluru Urban,Bengaluru Urban,2013,797
Karnataka,Belgaum,Belgaum,2013,774.1
Karnataka,Bellary,Bellary,2013,604.2
Karnataka,Bidar,Bidar,2013,988.8
Karnataka,Bijapur,Bijapur,2013,612.7
Karnataka,Chamarajanagar,Chamarajanagar,2013,678.9
Karnataka,Chikballapur,Chikballapur,2013,619.5
Karnataka,Chikmagalur,Chikmagalur,2013,2201.1
Karnataka,Chitradurga,Chitradurga,2013,583.8
Karnataka,Dakshin Kannad,Dakshin Kannad,2013,4284.6
Karnataka,Davangere,Davangere,2013,816.5
Karnataka,Dharwad,Dharwad,2013,686.3
Karnataka,Gadag,Gadag,2013,542.5
Karnataka,Gulbarga,Gulbarga,2013,838.9
Karnataka,Hassan,Hassan,2013,995.8
Karnataka,Haveri,Haveri,2013,778.1
Karnataka,Kodagu,Kodagu,2013,3031.3
Karnataka,Kolar,Kolar,2013,663.8
Karnataka,Koppal,Koppal,2013,658.6
Karnataka,Mandya,Mandya,2013,609.3
Karnataka,Mysore,Mysore,2013,730
Karnataka,Raichur,Raichur,2013,757.1
Karnataka,Ramanagara,Ramanagara,2013,799
Karnataka,Shimoga,Shimoga,2013,2756.4
Karnataka,Tumkur,Tumkur,2013,654.2
Karnataka,Udupi,Udupi,2013,4852.5
Karnataka,Uttar Kannad,Uttar Kannad,2013,3649.2
Karnataka,Yadgir,Yadgir,2013,764.1
Karnataka,Bagalkot,Bagalkot,2014,592.6
Karnataka,Bangalore Rural,Bangalore Rural,2014,946.1
Karnataka,Bengaluru Urban,Bengaluru Urban,2014,854.7
Karnataka,Belgaum,Belgaum,2014,976.8
Karnataka,Bellary,Bellary,2014,795.5
Karnataka,Bidar,Bidar,2014,643.1
Karnataka,Bijapur,Bijapur,2014,596.3
Karnataka,Chamarajanagar,Chamarajanagar,2014,706.7
Karnataka,Chikballapur,Chikballapur,2014,533.7
Karnataka,Chikmagalur,Chikmagalur,2014,2131.1
Karnataka,Chitradurga,Chitradurga,2014,856.3
Karnataka,Dakshin Kannad,Dakshin Kannad,2014,3704.1
Karnataka,Davangere,Davangere,2014,978.4
Karnataka,Dharwad,Dharwad,2014,909.6
Karnataka,Gadag,Gadag,2014,774.2
Karnataka,Gulbarga,Gulbarga,2014,735.6
Karnataka,Hassan,Hassan,2014,1049.9
Karnataka,Haveri,Haveri,2014,1077.4
Karnataka,Kodagu,Kodagu,2014,2630
Karnataka,Kolar,Kolar,2014,518
Karnataka,Koppal,Koppal,2014,756
Karnataka,Mandya,Mandya,2014,787
Karnataka,Mysore,Mysore,2014,880.1
Karnataka,Raichur,Raichur,2014,651.5
Karnataka,Ramanagara,Ramanagara,2014,810.3
Karnataka,Shimoga,Shimoga,2014,2977.9
Karnataka,Tumkur,Tumkur,2014,703.8
Karnataka,Udupi,Udupi,2014,4159
Karnataka,Uttar Kannad,Uttar Kannad,2014,3289.8
Karnataka,Yadgir,Yadgir,2014,558.6
Karnataka,Bagalkot,Bagalkot,2015,465.3
Karnataka,Bangalore Rural,Bangalore Rural,2015,1102.2
Karnataka,Bengaluru Urban,Bengaluru Urban,2015,1074.8
Karnataka,Belgaum,Belgaum,2015,580.3
Karnataka,Bellary,Bellary,2015,597.6
Karnataka,Bidar,Bidar,2015,659.7
Karnataka,Bijapur,Bijapur,2015,456.1
Karnataka,Chamarajanagar,Chamarajanagar,2015,915.4
Karnataka,Chikballapur,Chikballapur,2015,1115.7
Karnataka,Chikmagalur,Chikmagalur,2015,1692.1
Karnataka,Chitradurga,Chitradurga,2015,690.3
Karnataka,Dakshin Kannad,Dakshin Kannad,2015,3289.3
Karnataka,Davangere,Davangere,2015,706.9
Karnataka,Dharwad,Dharwad,2015,600.1
Karnataka,Gadag,Gadag,2015,490.7
Karnataka,Gulbarga,Gulbarga,2015,595.3
Karnataka,Hassan,Hassan,2015,997.4
Karnataka,Haveri,Haveri,2015,665.5
Karnataka,Kodagu,Kodagu,2015,2486.6
Karnataka,Kolar,Kolar,2015,1083.7
Karnataka,Koppal,Koppal,2015,523.7
Karnataka,Mandya,Mandya,2015,850.9
Karnataka,Mysore,Mysore,2015,981.1
Karnataka,Raichur,Raichur,2015,568.3
Karnataka,Ramanagara,Ramanagara,2015,1071.8
Karnataka,Shimoga,Shimoga,2015,1590.4
Karnataka,Tumkur,Tumkur,2015,939.3
Karnataka,Udupi,Udupi,2015,3819.3
Karnataka,Uttar Kannad,Uttar Kannad,2015,2135.7
Karnataka,Yadgir,Yadgir,2015,482.4
Karnataka,Bagalkot,Bagalkot,2016,415.2
Karnataka,Bellary,Bellary,2016,371.1
Karnataka,Belgaum,Belgaum,2016,701.3
Karnataka,Bangalore Rural,Bangalore Rural,2016,753.9
Karnataka,Bengaluru Urban,Bengaluru Urban,2016,714.6
Karnataka,Bidar,Bidar,2016,1301.9
Karnataka,Chamarajanagar,Chamarajanagar,2016,320.8
Karnataka,Chikballapur,Chikballapur,2016,616.3
Karnataka,Chikmagaluru,Chikmagaluru,2016,1241.6
Karnataka,Chitradurga,Chitradurga,2016,321.8
Karnataka,Dakshin Kannad,Dakshin Kannad,2016,2818.2
Karnataka,Davangere,Davangere,2016,494.5
Karnataka,Dharwad,Dharwad,2016,470.8
Karnataka,Gadag,Gadag,2016,396.2
Karnataka,Hassan,Hassan,2016,580.3
Karnataka,Haveri,Haveri,2016,520.7
Karnataka,Gulbarga,Gulbarga,2016,891.6
Karnataka,Kodagu,Kodagu,2016,1799.2
Karnataka,Kolar,Kolar,2016,632.4
Karnataka,Koppal,Koppal,2016,410.9
Karnataka,Mandya,Mandya,2016,473.7
Karnataka,Mysore,Mysore,2016,450
Karnataka,Raichur,Raichur,2016,567.3
Karnataka,Ramanagara,Ramanagara,2016,591.8
Karnataka,Shimoga,Shimoga,2016,1445.7
Karnataka,Tumkur,Tumkur,2016,492.6
Karnataka,Udupi,Udupi,2016,3399.7
Karnataka,Uttar Kannad,Uttar Kannad,2016,2253.6
Karnataka,Bijapur,Bijapur,2016,467.7
Karnataka,Yadgir,Yadgir,2016,572.3
Karnataka,Bagalkot,Bagalkot,2017,629
Karnataka,Bellary,Bellary,2017,729.2
Karnataka,Belgaum,Belgaum,2017,839.7
Karnataka,Bangalore Rural,Bangalore Rural,2017,1259.9
Karnataka,Bengaluru Urban,Bengaluru Urban,2017,1244.1
Karnataka,Bidar,Bidar,2017,855
Karnataka,Chamarajanagar,Chamarajanagar,2017,924.5
Karnataka,Chikballapur,Chikballapur,2017,958.8
Karnataka,Chikmagaluru,Chikmagaluru,2017,1506.1
Karnataka,Chitradurga,Chitradurga,2017,583
Karnataka,Dakshin Kannad,Dakshin Kannad,2017,3090.4
Karnataka,Davangere,Davangere,2017,741.5
Karnataka,Dharwad,Dharwad,2017,580.7
Karnataka,Gadag,Gadag,2017,558.2
Karnataka,Hassan,Hassan,2017,904.4
Karnataka,Haveri,Haveri,2017,758.2
Karnataka,Gulbarga,Gulbarga,2017,816.4
Karnataka,Kodagu,Kodagu,2017,2288.1
Karnataka,Kolar,Kolar,2017,1168
Karnataka,Koppal,Koppal,2017,773.5
Karnataka,Mandya,Mandya,2017,1058.4
Karnataka,Mysore,Mysore,2017,1023.8
Karnataka,Raichur,Raichur,2017,767.5
Karnataka,Ramanagara,Ramanagara,2017,1296.3
Karnataka,Shimoga,Shimoga,2017,1472.6
Karnataka,Tumkur,Tumkur,2017,820.4
Karnataka,Udupi,Udupi,2017,4093.7
Karnataka,Uttar Kannad,Uttar Kannad,2017,2479.7
Karnataka,Bijapur,Bijapur,2017,641.9
Karnataka,Yadgir,Yadgir,2017,723
Karnataka,Bagalkot,Bagalkot,2018,361.4
Karnataka,Bellary,Bellary,2018,359.4
Karnataka,Belgaum,Belgaum,2018,886.6
Karnataka,Bangalore Rural,Bangalore Rural,2018,823.1
Karnataka,Bengaluru Urban,Bengaluru Urban,2018,771.8
Karnataka,Bidar,Bidar,2018,528.1
Karnataka,Chamarajanagar,Chamarajanagar,2018,577.4
